IDX,X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
3072,37.2085000,55.8428900,5,60,2,294
3073,37.5457000,55.4311400,5,60,0,0
3074,37.8322200,55.7193400,5,60,0,0
3081,37.8320600,55.8132700,1,60,0,0
3082,37.3410400,55.8187000,5,60,0,0
3083,37.3460300,55.8184500,5,60,1,280
3085,37.6738100,55.8918800,5,60,1,170
3093,37.1196600,55.7874200,5,110,1,76
3094,37.1194300,55.7877500,5,110,1,256
3109,37.2432100,55.5806800,5,60,1,68
3115,37.5974900,55.5671400,5,60,0,0
3116,37.6134300,55.6634800,5,60,0,0
3117,37.6312100,55.7729800,5,60,1,284
3119,37.8340600,55.9617900,5,60,1,251
3121,37.8368500,55.7755800,1,60,2,67
3144,37.3981500,55.9286600,5,110,1,202
3145,37.4142000,55.9568900,1,110,1,180
3146,37.4144500,55.9573200,1,110,1,1
3148,37.8116900,55.9374200,5,60,1,199
3149,37.8339100,55.7437800,1,60,0,0
3150,37.8348700,55.7189600,1,60,0,0
3157,37.0830600,55.3990500,5,60,1,217
3158,37.3846400,55.3798000,5,60,2,297
3162,37.4597000,55.4045100,5,60,1,63
3163,37.7022500,55.7902500,5,60,1,48
3171,37.6158300,55.4760100,5,110,1,352
3176,37.7028100,55.7954000,5,60,1,148
3177,37.7052900,55.7952000,5,60,1,76
3178,37.6988500,55.7886500,5,60,1,206
3179,37.6988100,55.7830300,5,60,1,176
3180,37.6861200,55.7633300,5,60,1,354
3181,37.6694800,55.7497700,5,60,1,45
3182,37.6552600,55.7497700,5,40,1,72
3185,38.1964700,55.4572000,5,90,1,342
3190,37.6989500,55.8001600,5,60,1,356
3191,37.6783700,55.7853200,5,60,1,292
3192,37.8416200,55.7670500,1,60,0,0
3193,37.2805400,55.8338400,5,60,1,68
3202,37.4884500,55.8301200,5,80,1,158
3206,38.1723100,55.4826900,5,90,1,310
3222,37.5747400,55.5115000,5,60,0,0
3228,37.6220700,55.7109200,5,0,0,0
3258,37.5928600,55.7006700,5,60,2,347
3259,37.6049400,55.3913100,5,110,2,1
3261,37.6160800,55.4415700,5,110,1,186
3263,37.7037900,55.7783700,5,60,1,35
3297,37.5673700,55.7505200,5,60,1,64
3305,37.6438300,55.7704200,5,60,0,0
3306,37.4439500,56.0361800,5,60,1,305
3307,37.4500400,55.8778100,1,40,1,327
3309,37.5913200,55.7270400,5,60,1,202
3338,37.1960500,55.8458400,5,60,1,113
3340,37.7549300,55.8031700,5,60,1,248
3341,37.2853600,55.8351200,5,60,1,63
3346,37.5402000,55.6308300,5,60,1,9
3350,38.0877300,55.8106200,5,60,1,259
3351,38.1019700,55.8122300,5,60,1,259
3364,37.5825800,55.5370700,5,60,1,191
3365,37.6899400,55.5534900,1,60,1,85
3368,37.2018700,55.5712100,5,90,1,69
3387,37.2885500,55.4404300,5,60,2,21
3404,37.5430500,56.0359900,5,90,1,353
3406,37.5455100,56.0111800,5,60,1,14
3411,37.5784900,55.8483300,5,60,0,0
3421,37.6043100,55.3721100,5,110,2,6
3423,37.6065800,55.7316900,5,60,0,0
3454,37.5558200,55.5616100,5,60,1,23
3455,37.6219600,55.8908800,5,60,0,0
3456,37.5544400,55.5596300,5,60,1,195
3458,37.5593600,55.5534700,5,60,2,57
3459,37.5961200,55.5647900,5,80,1,33
3460,37.6301500,55.5812900,5,60,2,96
3489,37.6667800,55.8434200,5,80,1,217
3516,37.4226800,55.7444200,5,90,1,131
3617,37.0984800,55.5432100,5,90,1,248
3619,37.2575000,55.5842600,5,90,1,248
3620,37.3073200,55.5966200,5,90,1,66
3673,37.6218500,55.6914300,5,0,1,354
3794,37.0769600,55.4708500,5,60,1,128
3796,37.1417700,55.4429000,5,90,2,309
3798,37.2929900,55.8366100,1,60,1,111
3907,38.1896800,55.4738000,5,60,1,136
3908,38.2639900,55.4145200,5,0,1,99
3928,37.6047600,55.5604100,5,110,1,171
3939,37.5906200,55.6748900,5,60,1,210
3940,37.5974700,55.6911300,5,60,2,146
3941,37.6632000,55.7499600,5,40,1,308
3965,37.8603800,55.9785800,5,90,1,225
3966,37.7608900,55.6226800,5,40,2,312
3968,37.4834700,55.6499100,5,60,1,51
3969,37.5899900,55.4347800,5,60,1,98
3970,37.7863700,55.3711700,5,90,1,349
3973,37.4083400,55.3737300,5,60,1,289
3975,37.1828700,55.4217600,5,90,1,313
4030,37.9159000,55.7647800,1,60,0,0
4031,38.0432900,55.5646800,5,60,1,319
4082,37.5795600,55.4141200,5,60,1,125
4086,37.7494600,55.9324100,5,60,1,101
4098,37.5437300,55.9140700,1,60,1,173
4099,37.6360400,55.8462100,5,0,0,187
4121,37.7545000,55.6634300,5,60,2,334
4126,37.7575700,55.5133200,5,60,2,21
4128,38.1586500,55.8187400,5,60,1,79
4159,37.9377300,55.6392000,5,60,0,0
4162,37.8296500,55.7444600,1,60,1,108
4169,37.5432500,56.0072900,5,60,1,48
4170,37.5461100,55.9354400,5,60,1,170
4202,37.3811200,55.7882200,1,40,0,288
4206,37.9584700,55.7507100,1,40,0,0
4207,37.6029000,55.8215400,5,40,0,0
4271,37.0791100,55.7154300,1,60,0,0
4274,37.2336700,55.7368500,1,60,0,0
4275,37.2626900,55.6506000,5,60,0,0
4276,37.2938200,55.7447400,1,60,0,0
4278,37.3472700,55.8620100,1,60,0,0
4279,37.3825600,55.7640200,5,80,1,311
4280,37.3958500,55.3765600,1,50,0,0
4281,37.3969700,55.7034300,1,100,2,232
4282,37.4119000,55.5446800,1,50,0,0
4283,37.4646000,55.6346000,1,100,2,235
4284,37.4826700,55.8800000,1,60,0,0
4287,37.4943000,55.6123700,1,90,0,0
4292,37.5321800,55.5938200,1,60,2,56
4293,37.5338900,55.9937400,1,60,0,0
4297,37.5873000,55.9072200,1,60,2,5
4298,37.6086100,55.5753300,1,100,2,185
4299,37.6170200,55.4455400,1,70,2,6
4300,37.6324200,55.7495000,5,50,0,0
4303,37.7208900,55.8785900,1,60,2,124
4304,37.7712000,55.6190800,1,40,0,0
4305,37.8285600,55.6571200,1,60,0,0
4306,37.8291700,55.7091000,1,40,2,110
4309,37.8751700,55.4352700,1,70,0,0
4311,37.9176800,55.6584800,1,60,0,0
4315,37.9435800,55.6333400,1,60,0,0
4318,38.0069200,55.5892700,1,60,0,0
4323,38.0719600,55.6109900,1,40,0,0
4604,37.7258400,55.5956900,1,40,0,0
4605,37.6843800,55.5792700,1,60,2,331
4606,37.4652800,55.6414900,1,60,2,50
4607,37.3923600,55.7145500,1,60,2,75
4609,37.3809300,55.7322800,1,60,0,0
4610,37.4009800,55.8316100,1,60,2,296
4613,37.8150700,55.6410200,1,40,0,0
4618,37.3816500,55.7130000,5,60,1,254
4622,37.6413900,55.7333800,5,60,1,164
4626,37.7634800,55.4808600,5,90,2,43
4633,38.0817700,55.6558600,5,0,1,91
4656,38.1830400,55.8214400,5,60,1,78
4730,37.3021000,55.6611500,5,60,1,32
4748,37.1425200,55.7968000,5,60,2,288
4754,38.2048300,55.4411400,5,90,1,343
4763,37.6364500,55.5982100,5,60,1,6
4770,38.0794400,55.5448000,1,90,1,314
4813,37.2392800,55.7813400,5,110,1,45
4854,37.2063300,56.0147500,5,0,2,126
4868,37.1704000,56.0289400,5,0,2,306
4869,37.8423500,55.4974600,5,0,1,339
4913,37.7779100,55.4181100,1,60,1,156
4926,38.0568300,55.8605600,5,90,2,278
